Problem Number	Title	Slug	Difficulty	"Tags"
888	Fair Candy Swap	fair-candy-swap	Easy	"Array, Hash Table, Math"
889	Construct Binary Tree from Preorder and Postorder Traversal	construct-binary-tree-from-preorder-and-postorder-traversal	Medium	"Tree, Binary Tree, Recursion"
890	Find and Replace Pattern	find-and-replace-pattern	Medium	"String, Hash Table"
891	Sum of Subsequence Widths	sum-of-subsequence-widths	Hard	"Array, Sorting, Math"
892	Surface Area of 3D Shapes	surface-area-of-3d-shapes	Easy	"Geometry, Math"
893	Groups of Special-Equivalent Strings	groups-of-special-equivalent-strings	Medium	"String, Enumeration"
894	All Possible Full Binary Trees	all-possible-full-binary-trees	Medium	"Tree, Recursion, Enumeration"
895	Maximum Frequency Stack	maximum-frequency-stack	Hard	"Hash Table, Stack, Simulation"
897	Increasing Order Search Tree	increasing-order-search-tree	Easy	"Tree, Binary Search Tree, Depth-First Search, Recursion"
899	Orderly Queue	orderly-queue	Hard	"String, Sorting"
900	RLE Iterator	rle-iterator	Medium	"Design, Simulation"
901	Online Stock Span	online-stock-span	Medium	"Stack, Array, Design"
902	Numbers At Most N Given Digit Set	numbers-at-most-n-given-digit-set	Hard	"String, Enumeration"
904	Fruit Into Baskets	fruit-into-baskets	Medium	"Greedy, Sliding Window, Array"
905	Sort Array By Parity	sort-array-by-parity	Easy	"Array, Sorting"
906	Super Palindromes	super-palindromes	Hard	"Math, String, Enumeration"
907	Sum of Subarray Minimums	sum-of-subarray-minimums	Medium	"Array, Stack, Dynamic Programming"
908	Smallest Range I	smallest-range-i	Easy	"Array, Math, Sorting"
910	Smallest Range II	smallest-range-ii	Medium	"Array, Math, Greedy"
912	Sort an Array	sort-an-array	Medium	"Sorting, Array"
914	X of a Kind in a Deck of Cards	x-of-a-kind-in-a-deck-of-cards	Easy	"Hash Table, Math, Counting"
915	Partition Array into Disjoint Intervals	partition-array-into-disjoint-intervals	Medium	"Array, Greedy"
916	Word Subsets	word-subsets	Medium	"String, Hash Table"
917	Reverse Only Letters	reverse-only-letters	Easy	"String, Two Pointers"
918	Maximum Sum Circular Subarray	maximum-sum-circular-subarray	Medium	"Array, Dynamic Programming, Prefix Sum"
919	Complete Binary Tree Inserter	complete-binary-tree-inserter	Medium	"Tree, Binary Tree, Design"
921	Minimum Add to Make Parentheses Valid	minimum-add-to-make-parentheses-valid	Medium	"String, Dynamic Programming, Greedy"
922	Sort Array By Parity II	sort-array-by-parity-ii	Easy	"Array, Sorting"
923	3Sum With Multiplicity	3sum-with-multiplicity	Medium	"Array, Counting, Sorting"
924	Minimize Malware Spread	minimize-malware-spread	Hard	"Graph, Union Find, Breadth-First Search"
925	Long Pressed Name	long-pressed-name	Easy	"String"
926	Flip String to Monotone Increasing	flip-string-to-monotone-increasing	Medium	"String, Greedy, Dynamic Programming"
927	Three Equal Parts	three-equal-parts	Hard	"Array, Binary Tree, Math"
929	Unique Email Addresses	unique-email-addresses	Easy	"String, Hash Table"
931	Minimum Falling Path Sum	minimum-falling-path-sum	Medium	"Array, Dynamic Programming, Matrix"
933	Number of Recent Calls	number-of-recent-calls	Easy	"Design, Data Stream"
934	Shortest Bridge	shortest-bridge	Medium	"Array, Matrix, Breadth-First Search, Depth-First Search"
935	Knight Dialer	knight-dialer	Medium	"Recursion, Dynamic Programming, Game Theory"
937	Reorder Data in Log Files	reorder-data-in-log-files	Medium	"String, Sorting"
938	Range Sum of BST	range-sum-of-bst	Easy	"Tree, Binary Search Tree"
939	Minimum Area Rectangle	minimum-area-rectangle	Medium	"Geometry, Hash Table, Sorting"
940	Distinct Subsequences II	distinct-subsequences-ii	Hard	"String, Dynamic Programming"
941	Valid Mountain Array	valid-mountain-array	Easy	"Array, Two Pointers"
942	DI String Match	di-string-match	Easy	"Array, Backtracking, Greedy"
943	Find the Shortest Superstring	find-the-shortest-superstring	Hard	"String, Dynamic Programming, Greedy, Backtracking"
944	Delete Columns to Make Sorted	delete-columns-to-make-sorted	Easy	"Array, String, Sorting"
945	Minimum Increment to Make Array Unique	minimum-increment-to-make-array-unique	Medium	"Array, Greedy"
946	Validate Stack Sequences	validate-stack-sequences	Medium	"Stack, Simulation"
947	Most Stones Removed with Same Row or Column	most-stones-removed-with-same-row-or-column	Medium	"Graph, Union Find"
948	Bag of Tokens	bag-of-tokens	Medium	"Greedy, Array"
949	Largest Time for Given Digits	largest-time-for-given-digits	Medium	"Array, String, Backtracking"
951	Flip Equivalent Binary Trees	flip-equivalent-binary-trees	Medium	"Tree, Binary Tree, Recursion"
952	Largest Component Size by Common Factor	largest-component-size-by-common-factor	Hard	"Union Find, Graph"
953	Verifying an Alien Dictionary	verifying-an-alien-dictionary	Easy	"String, Sorting"
954	Array of Doubled Pairs	array-of-doubled-pairs	Medium	"Array, Hash Table, Sorting"
955	Delete Columns to Make Sorted II	delete-columns-to-make-sorted-ii	Medium	"Array, String, Sorting"
956	Tallest Billboard	tallest-billboard	Hard	"Dynamic Programming, Greedy"
957	Prison Cells After N Days	prison-cells-after-n-days	Medium	"Array, Simulation"
958	Check Completeness of a Binary Tree	check-completeness-of-a-binary-tree	Medium	"Binary Tree, Breadth-First Search"
959	Regions Cut By Slashes	regions-cut-by-slashes	Medium	"Union Find, Graph, Simulation"
960	Delete Columns to Make Sorted III	delete-columns-to-make-sorted-iii	Hard	"String, Dynamic Programming, Sorting"
961	N-Repeated Element in Size 2N Array	n-repeated-element-in-size-2n-array	Easy	"Array, Hash Table"
962	Maximum Width Ramp	maximum-width-ramp	Medium	"Array, Greedy"
963	Minimum Area Rectangle II	minimum-area-rectangle-ii	Medium	"Geometry, Array, Hash Table"
964	Least Operators to Express Number	least-operators-to-express-number	Hard	"Math, Dynamic Programming, Recursion"
965	Univalued Binary Tree	univalued-binary-tree	Easy	"Binary Tree, Tree, Recursion"
966	Vowel Spellchecker	vowel-spellchecker	Medium	"String, Hash Table"
967	Numbers With Same Consecutive Differences	numbers-with-same-consecutive-differences	Medium	"Backtracking, Dynamic Programming"
968	Binary Tree Cameras	binary-tree-cameras	Hard	"Binary Tree, Greedy, Depth-First Search"
969	Pancake Sorting	pancake-sorting	Medium	"Array, Sorting, Greedy"
970	Powerful Integers	powerful-integers	Medium	"Math, Brainteaser"
971	Flip Binary Tree To Match Preorder Traversal	flip-binary-tree-to-match-preorder-traversal	Medium	"Tree, Binary Tree, Depth-First Search, Recursion"
972	Equal Rational Numbers	equal-rational-numbers	Hard	"String, Math"
973	K Closest Points to Origin	k-closest-points-to-origin	Medium	"Array, Math, Sorting"
976	Largest Perimeter Triangle	largest-perimeter-triangle	Easy	"Array, Math, Sorting"
977	Squares of a Sorted Array	squares-of-a-sorted-array	Easy	"Array, Sorting, Two Pointers"
979	Distribute Coins in Binary Tree	distribute-coins-in-binary-tree	Medium	"Tree, Binary Tree, Depth-First Search, Greedy"
980	Unique Paths III	unique-paths-iii	Hard	"Matrix, Backtracking, Recursion, Depth-First Search"
981	Time Based Key-Value Store	time-based-key-value-store	Medium	"Database, Design"
982	Triples with Bitwise AND Equal To Zero	triples-with-bitwise-and-equal-to-zero	Hard	"Bit Manipulation, Counting"
983	Minimum Cost For Tickets	minimum-cost-for-tickets	Medium	"Dynamic Programming, Greedy"
984	String Without AAA or BBB	string-without-aaa-or-bbb	Medium	"String, Dynamic Programming, Greedy"
985	Sum of Even Numbers After Queries	sum-of-even-numbers-after-queries	Medium	"Array, Math, Simulation"
986	Interval List Intersections	interval-list-intersections	Medium	"Array, Sorting, Two Pointers, Greedy"
987	Vertical Order Traversal of a Binary Tree	vertical-order-traversal-of-a-binary-tree	Hard	"Tree, Binary Tree, Graph"
988	Smallest String Starting From Leaf	smallest-string-starting-from-leaf	Medium	"Tree, Depth-First Search, String"
989	Add to Array-Form of Integer	add-to-array-form-of-integer	Easy	"Array, Math"
990	Satisfiability of Equality Equations	satisfiability-of-equality-equations	Medium	"Hash Table, Union Find"
991	Broken Calculator	broken-calculator	Medium	"Math, Simulation, Greedy"
992	Subarrays with K Different Integers	subarrays-with-k-different-integers	Hard	"Array, Sliding Window"
993	Cousins in Binary Tree	cousins-in-binary-tree	Easy	"Binary Tree, Depth-First Search"
994	Rotting Oranges	rotting-oranges	Medium	"Breadth-First Search, Matrix, Simulation"
995	Minimum Number of K Consecutive Bit Flips	minimum-number-of-k-consecutive-bit-flips	Hard	"Bit Manipulation, Greedy, Sliding Window"
996	Number of Squareful Arrays	number-of-squareful-arrays	Hard	"Backtracking, Enumeration"
997	Find the Town Judge	find-the-town-judge	Easy	"Graph, Simulation, Counting"
998	Maximum Binary Tree II	maximum-binary-tree-ii	Medium	"Tree, Binary Tree, Recursion"
999	Available Captures for Rook	available-captures-for-rook	Easy	"Array, String, Simulation"
1000	Minimum Cost to Merge Stones	minimum-cost-to-merge-stones	Hard	"Dynamic Programming, Greedy, Matrix"
1001	Grid Illumination	grid-illumination	Hard	"Grid, Simulation"
1002	Find Common Characters	find-common-characters	Easy	"String, Array"
1003	Check If Word Is Valid After Substitutions	check-if-word-is-valid-after-substitutions	Medium	"String, Stack, Greedy"
1004	Max Consecutive Ones III	max-consecutive-ones-iii	Medium	"Array, Sliding Window"
1005	Maximize Sum Of Array After K Negations	maximize-sum-of-array-after-k-negations	Easy	"Array, Greedy"
1006	Clumsy Factorial	clumsy-factorial	Medium	"Math"
1008	Construct Binary Search Tree from Preorder Traversal	construct-binary-search-tree-from-preorder-traversal	Medium	"Binary Search Tree, Recursion, Tree"
1009	Complement of Base 10 Integer	complement-of-base-10-integer	Easy	"Bit Manipulation, Math"
1010	Pairs of Songs With Total Durations Divisible by 60	pairs-of-songs-with-total-durations-divisible-by-60	Medium	"Array, Hash Table, Math"
1011	Capacity To Ship Packages Within D Days	capacity-to-ship-packages-within-d-days	Medium	"Binary Search, Greedy"
1012	Numbers With Repeated Digits	numbers-with-repeated-digits	Hard	"Math, Counting"
1013	Partition Array Into Three Parts With Equal Sum	partition-array-into-three-parts-with-equal-sum	Easy	"Array, Math"
1015	Smallest Integer Divisible by K	smallest-integer-divisible-by-k	Medium	"Math, Greedy"
1017	Convert to Base -2	convert-to-base-2	Medium	"Math, String"
1018	Binary Prefix Divisible By 5	binary-prefix-divisible-by-5	Easy	"Binary, Math"
1019	Next Greater Node In Linked List	next-greater-node-in-linked-list	Medium	"Linked List, Array, Stack"
1020	Number of Enclaves	number-of-enclaves	Medium	"Matrix, Depth-First Search, Breadth-First Search, Graph"
1021	Remove Outermost Parentheses	remove-outermost-parentheses	Easy	"String"
1022	Sum of Root To Leaf Binary Numbers	sum-of-root-to-leaf-binary-numbers	Easy	"Binary Tree, Recursion, Depth-First Search"
1023	Camelcase Matching	camelcase-matching	Medium	"String"
1024	Video Stitching	video-stitching	Medium	"Greedy, Dynamic Programming, Interval"
1025	Divisor Game	divisor-game	Easy	"Game Theory, Dynamic Programming"
1026	Maximum Difference Between Node and Ancestor	maximum-difference-between-node-and-ancestor	Medium	"Tree, Binary Tree, Depth-First Search"
1027	Longest Arithmetic Subsequence	longest-arithmetic-subsequence	Medium	"Array, Dynamic Programming"
1028	Recover a Tree From Preorder Traversal	recover-a-tree-from-preorder-traversal	Hard	"Tree, Recursion, Depth-First Search"
1029	Two City Scheduling	two-city-scheduling	Medium	"Greedy, Array"
1030	Matrix Cells in Distance Order	matrix-cells-in-distance-order	Easy	"Matrix, Sorting"
1031	Maximum Sum of Two Non-Overlapping Subarrays	maximum-sum-of-two-non-overlapping-subarrays	Medium	"Array, Dynamic Programming, Sliding Window"
1033	Moving Stones Until Consecutive	moving-stones-until-consecutive	Medium	"Greedy, Sorting"
1034	Coloring A Border	coloring-a-border	Medium	"Matrix, Depth-First Search, Backtracking"
1035	Uncrossed Lines	uncrossed-lines	Medium	"Dynamic Programming"
1039	Minimum Score Triangulation of Polygon	minimum-score-triangulation-of-polygon	Medium	"Dynamic Programming, Recursion"
1040	Moving Stones Until Consecutive II	moving-stones-until-consecutive-ii	Medium	"Simulation, Sorting"
1042	Flower Planting With No Adjacent	flower-planting-with-no-adjacent	Medium	"Graph, Backtracking"
1043	Partition Array for Maximum Sum	partition-array-for-maximum-sum	Medium	"Dynamic Programming, Array"
1044	Longest Duplicate Substring	longest-duplicate-substring	Hard	"String, String Matching, Rolling Hash"
1046	Last Stone Weight	last-stone-weight	Easy	"Array, Heap (Priority Queue)"
1047	Remove All Adjacent Duplicates In String	remove-all-adjacent-duplicates-in-string	Easy	"String, Stack"
1048	Longest String Chain	longest-string-chain	Medium	"String, Dynamic Programming, Sorting"
1049	Last Stone Weight II	last-stone-weight-ii	Medium	"Array, Dynamic Programming, Greedy"
1051	Height Checker	height-checker	Easy	"Array, Sorting"
1052	Grumpy Bookstore Owner	grumpy-bookstore-owner	Medium	"Simulation, Array"
1053	Previous Permutation With One Swap	previous-permutation-with-one-swap	Medium	"Array, Greedy, Sorting"
1054	Distant Barcodes	distant-barcodes	Medium	"Greedy, Sorting"
1055	Shortest Way to Form String	shortest-way-to-form-string	Medium	"String, Dynamic Programming, Greedy"
1057	Campus Bikes	campus-bikes	Medium	"Greedy, Sorting, Array, Simulation"
1058	Minimize Rounding Error to Meet Target	minimize-rounding-error-to-meet-target	Medium	"Math, Greedy"
1059	All Paths from Source Lead to Destination	all-paths-from-source-lead-to-destination	Medium	"Graph, Depth-First Search, Backtracking"
1060	Missing Element in Sorted Array	missing-element-in-sorted-array	Medium	"Array, Binary Search"
1061	Lexicographically Smallest Equivalent String	lexicographically-smallest-equivalent-string	Medium	"String, Union Find"
1062	Longest Repeating Substring	longest-repeating-substring	Medium	"String, Dynamic Programming, Sliding Window"
1064	Fixed Point	fixed-point	Easy	"Array, Binary Search"
1065	Index Pairs of a String	index-pairs-of-a-string	Easy	"String, Enumeration"
1066	Campus Bikes II	campus-bikes-ii	Medium	"Greedy, Dynamic Programming, Enumeration"
1071	Greatest Common Divisor of Strings	greatest-common-divisor-of-strings	Easy	"String, Math, Number Theory"
1072	Flip Columns For Maximum Number of Equal Rows	flip-columns-for-maximum-number-of-equal-rows	Medium	"Array, Hash Table"
1074	Number of Submatrices That Sum to Target	number-of-submatrices-that-sum-to-target	Hard	"Matrix, Dynamic Programming, Prefix Sum"
1078	Occurrences After Bigram	occurrences-after-bigram	Easy	"String, Array"
1079	Letter Tile Possibilities	letter-tile-possibilities	Medium	"Backtracking, Enumeration"
1080	Insufficient Nodes in Root to Leaf Paths	insufficient-nodes-in-root-to-leaf-paths	Medium	"Binary Tree, Depth-First Search"
1081	Smallest Subsequence of Distinct Characters	smallest-subsequence-of-distinct-characters	Medium	"String, Greedy, Stack"
1085	Sum of Digits in the Minimum Number	sum-of-digits-in-the-minimum-number	Easy	"Math, Array"
1086	High Five	high-five	Easy	"Hash Table, Sorting"
1087	Brace Expansion	brace-expansion	Medium	"String, Enumeration"
1089	Duplicate Zeros	duplicate-zeros	Easy	"Array, Simulation"
1090	Largest Values From Labels	largest-values-from-labels	Medium	"Array, Greedy"
1091	Shortest Path in Binary Matrix	shortest-path-in-binary-matrix	Medium	"Shortest Path, Breadth-First Search, Graph"
1092	Shortest Common Supersequence 	shortest-common-supersequence	Hard	"String, Dynamic Programming"
1094	Car Pooling	car-pooling	Medium	"Greedy, Simulation"
1095	Find in Mountain Array	find-in-mountain-array	Hard	"Array, Binary Search"
1096	Brace Expansion II	brace-expansion-ii	Hard	"String, Backtracking, Sorting"
1099	Two Sum Less Than K	two-sum-less-than-k	Easy	"Array, Two Pointers, Sorting"
1100	Find K-Length Substrings With No Repeated Characters	find-k-length-substrings-with-no-repeated-characters	Medium	"String, Sliding Window, Hash Table"
1101	The Earliest Moment When Everyone Become Friends	the-earliest-moment-when-everyone-become-friends	Medium	"Graph, Union Find"
1102	Path With Maximum Minimum Value	path-with-maximum-minimum-value	Medium	"Graph, Heap (Priority Queue), Breadth-First Search"
1103	Distribute Candies to People	distribute-candies-to-people	Easy	"Array, Math, Simulation"
1104	Path In Zigzag Labelled Binary Tree	path-in-zigzag-labelled-binary-tree	Medium	"Binary Tree, Depth-First Search"
1105	Filling Bookcase Shelves	filling-bookcase-shelves	Medium	"Dynamic Programming, Greedy"
1108	Defanging an IP Address	defanging-an-ip-address	Easy	"String"
1109	Corporate Flight Bookings	corporate-flight-bookings	Medium	"Array, Prefix Sum"
1119	Remove Vowels from a String	remove-vowels-from-a-string	Easy	"String"
1120	Maximum Average Subtree	maximum-average-subtree	Medium	"Binary Tree, Tree, Dynamic Programming"
1121	Divide Array Into Increasing Sequences	divide-array-into-increasing-sequences	Hard	"Array, Greedy, Sorting"
1122	Relative Sort Array	relative-sort-array	Easy	"Array, Sorting"
1123	Lowest Common Ancestor of Deepest Leaves	lowest-common-ancestor-of-deepest-leaves	Medium	"Tree, Binary Tree"
1124	Longest Well-Performing Interval	longest-well-performing-interval	Medium	"Array, Sliding Window"
1125	Smallest Sufficient Team	smallest-sufficient-team	Hard	"Greedy, Bit Manipulation, Dynamic Programming"
1128	Number of Equivalent Domino Pairs	number-of-equivalent-domino-pairs	Easy	"Array, Hash Table, Counting"
1130	Minimum Cost Tree From Leaf Values	minimum-cost-tree-from-leaf-values	Medium	"Dynamic Programming, Tree"
1131	Maximum of Absolute Value Expression	maximum-of-absolute-value-expression	Medium	"Math, Dynamic Programming, Array"
1133	Largest Unique Number	largest-unique-number	Easy	"Array, Hash Table"
1134	Armstrong Number	armstrong-number	Easy	"Math"
1136	Parallel Courses	parallel-courses	Medium	"Graph, Breadth-First Search, Topological Sort"
1137	N-th Tribonacci Number	n-th-tribonacci-number	Easy	"Dynamic Programming, Recursion"
1139	Largest 1-Bordered Square	largest-1-bordered-square	Medium	"Matrix, Dynamic Programming"
1140	Stone Game II	stone-game-ii	Medium	"Dynamic Programming, Game Theory, Recursion"
1143	Longest Common Subsequence	longest-common-subsequence	Medium	"Dynamic Programming, String"
1145	Binary Tree Coloring Game	binary-tree-coloring-game	Medium	"Binary Tree, Tree, Game Theory, Depth-First Search"
1146	Snapshot Array	snapshot-array	Medium	"Array, Design"
1147	Longest Chunked Palindrome Decomposition	longest-chunked-palindrome-decomposition	Hard	"String, Dynamic Programming, Recursion"
1152	Analyze User Website Visit Pattern	analyze-user-website-visit-pattern	Medium	"Data Stream, Simulation, Hash Table"
1153	String Transforms Into Another String	string-transforms-into-another-string	Hard	"String, Simulation"
1154	Day of the Year	day-of-the-year	Easy	"Math, String"
1155	Number of Dice Rolls With Target Sum	number-of-dice-rolls-with-target-sum	Medium	"Dynamic Programming, Math"
1156	Swap For Longest Repeated Character Substring	swap-for-longest-repeated-character-substring	Medium	"String, Sliding Window, Greedy"
1160	Find Words That Can Be Formed by Characters	find-words-that-can-be-formed-by-characters	Easy	"String, Hash Table"
1161	Maximum Level Sum of a Binary Tree	maximum-level-sum-of-a-binary-tree	Medium	"Tree, Binary Tree, Breadth-First Search"
1163	Last Substring in Lexicographical Order	last-substring-in-lexicographical-order	Hard	"String, Greedy"
1165	Single-Row Keyboard	single-row-keyboard	Easy	"String"
1166	Design File System	design-file-system	Medium	"Design"
1167	Minimum Cost to Connect Sticks	minimum-cost-to-connect-sticks	Medium	"Greedy, Heap (Priority Queue)"
1168	Optimize Water Distribution in a Village	optimize-water-distribution-in-a-village	Hard	"Graph, Minimum Spanning Tree"
1170	Compare Strings by Frequency of the Smallest Character	compare-strings-by-frequency-of-the-smallest-character	Medium	"String, Sorting"
1172	Dinner Plate Stacks	dinner-plate-stacks	Hard	"Stack, Simulation"
1175	Prime Arrangements	prime-arrangements	Easy	"Math, Combinatorics"
1176	Diet Plan Performance	diet-plan-performance	Easy	"Array, Math"
1177	Can Make Palindrome from Substring	can-make-palindrome-from-substring	Medium	"String, Dynamic Programming"
1178	Number of Valid Words for Each Puzzle	number-of-valid-words-for-each-puzzle	Hard	"String, Hash Table, Enumeration"
1180	Count Substrings with Only One Distinct Letter	count-substrings-with-only-one-distinct-letter	Easy	"String, Counting"
1182	Shortest Distance to Target Color	shortest-distance-to-target-color	Medium	"Array, String, Dynamic Programming, Simulation"
1184	Distance Between Bus Stops	distance-between-bus-stops	Easy	"Array, Math"
1185	Day of the Week	day-of-the-week	Easy	"Math"
1186	Maximum Subarray Sum with One Deletion	maximum-subarray-sum-with-one-deletion	Medium	"Array, Dynamic Programming"
1187	Make Array Strictly Increasing	make-array-strictly-increasing	Hard	"Array, Greedy"
1189	Maximum Number of Balloons	maximum-number-of-balloons	Easy	"String, Counting"
1190	Reverse Substrings Between Each Pair of Parentheses	reverse-substrings-between-each-pair-of-parentheses	Medium	"String, Stack"
1191	K-Concatenation Maximum Sum	k-concatenation-maximum-sum	Medium	"Array, Dynamic Programming, Modulo"
1192	Critical Connections in a Network	critical-connections-in-a-network	Hard	"Graph, Depth-First Search"
1197	Minimum Knight Moves	minimum-knight-moves	Medium	"Breadth-First Search, Graph"
1198	Find Smallest Common Element in All Rows	find-smallest-common-element-in-all-rows	Medium	"Matrix, Array, Hash Table"
1199	Minimum Time to Build Blocks	minimum-time-to-build-blocks	Hard	"Greedy, Simulation"
1200	Minimum Absolute Difference	minimum-absolute-difference	Easy	"Array, Sorting"
1201	Ugly Number III	ugly-number-iii	Medium	"Math, Dynamic Programming"
1202	Smallest String With Swaps	smallest-string-with-swaps	Medium	"String, Union Find"
1203	Sort Items by Groups Respecting Dependencies	sort-items-by-groups-respecting-dependencies	Hard	"Graph, Topological Sort"
1206	Design Skiplist	design-skiplist	Hard	"Design, Linked List"
1207	Unique Number of Occurrences	unique-number-of-occurrences	Easy	"Array, Hash Table"
1208	Get Equal Substrings Within Budget	get-equal-substrings-within-budget	Medium	"String, Sliding Window"
1209	Remove All Adjacent Duplicates in String II	remove-all-adjacent-duplicates-in-string-ii	Medium	"String, Stack, Simulation"
1210	Minimum Moves to Reach Target with Rotations	minimum-moves-to-reach-target-with-rotations	Hard	"Simulation, Greedy, Minimum Spanning Tree"
1214	Two Sum BSTs	two-sum-bsts	Medium	"Binary Tree, Binary Search Tree, Tree"
1216	Valid Palindrome III	valid-palindrome-iii	Hard	"String, Two Pointers, Dynamic Programming"
1217	Minimum Cost to Move Chips to The Same Position	minimum-cost-to-move-chips-to-the-same-position	Easy	"Math, Greedy"
1219	Path with Maximum Gold	path-with-maximum-gold	Medium	"Grid, Backtracking, Depth-First Search"
1220	Count Vowels Permutation	count-vowels-permutation	Hard	"Dynamic Programming, Enumeration"
1221	Split a String in Balanced Strings	split-a-string-in-balanced-strings	Easy	"String, Counting"
1222	Queens That Can Attack the King	queens-that-can-attack-the-king	Medium	"Array, Matrix, Simulation"
1224	Maximum Equal Frequency	maximum-equal-frequency	Hard	"Array, Hash Table, Math"
1231	Divide Chocolate	divide-chocolate	Hard	"Greedy, Math, Binary Search"
1232	Check If It Is a Straight Line	check-if-it-is-a-straight-line	Easy	"Geometry"
1233	Remove Sub-Folders from the Filesystem	remove-sub-folders-from-the-filesystem	Medium	"String, Hash Table, Trie"
1234	Replace the Substring for Balanced String	replace-the-substring-for-balanced-string	Medium	"String, Sliding Window"
1235	Maximum Profit in Job Scheduling	maximum-profit-in-job-scheduling	Hard	"Dynamic Programming, Greedy"
1237	Find Positive Integer Solution for a Given Equation	find-positive-integer-solution-for-a-given-equation	Medium	"Math, Enumeration"
1238	Circular Permutation in Binary Representation	circular-permutation-in-binary-representation	Medium	"Bit Manipulation, Enumeration"
1239	Maximum Length of a Concatenated String with Unique Characters	maximum-length-of-a-concatenated-string-with-unique-characters	Medium	"String, Backtracking, Enumeration"
1247	Minimum Swaps to Make Strings Equal	minimum-swaps-to-make-strings-equal	Medium	"String, Greedy, Two Pointers"
1248	Count Number of Nice Subarrays	count-number-of-nice-subarrays	Medium	"Array, Two Pointers, Sliding Window"
1249	Minimum Remove to Make Valid Parentheses	minimum-remove-to-make-valid-parentheses	Medium	"String, Greedy"
1250	Check If It Is a Good Array	check-if-it-is-a-good-array	Hard	"Math, Greatest Common Divisor"
1252	Cells with Odd Values in a Matrix	cells-with-odd-values-in-a-matrix	Easy	"Matrix, Simulation"
1253	Reconstruct a 2-Row Binary Matrix	reconstruct-a-2-row-binary-matrix	Medium	"Matrix, Array, Greedy"
1254	Number of Closed Islands	number-of-closed-islands	Medium	"Depth-First Search, Breadth-First Search, Matrix"
1258	Synonymous Sentences	synonymous-sentences	Medium	"String, Hash Table"
1260	Shift 2D Grid	shift-2d-grid	Easy	"Array, Matrix, Simulation"
1261	Find Elements in a Contaminated Binary Tree	find-elements-in-a-contaminated-binary-tree	Medium	"Binary Tree, Tree, Union Find"
1266	Minimum Time Visiting All Points	minimum-time-visiting-all-points	Easy	"Math, Simulation"
1267	Count Servers that Communicate	count-servers-that-communicate	Medium	"Matrix, Counting, Simulation"
1268	Search Suggestions System	search-suggestions-system	Medium	"String, Trie"
1271	Hexspeak	hexspeak	Easy	"String, Hash Table"
1272	Remove Interval	remove-interval	Medium	"Array, Sorting, Simulation"
1274	Number of Ships in a Rectangle	number-of-ships-in-a-rectangle	Hard	"Grid, Binary Search, Counting"
1275	Find Winner on a Tic Tac Toe Game	find-winner-on-a-tic-tac-toe-game	Easy	"Simulation"
1277	Count Square Submatrices with All Ones	count-square-submatrices-with-all-ones	Medium	"Matrix, Dynamic Programming"
1278	Palindrome Partitioning III	palindrome-partitioning-iii	Hard	"String, Dynamic Programming, Backtracking"
1281	Subtract the Product and Sum of Digits of an Integer	subtract-the-product-and-sum-of-digits-of-an-integer	Easy	"Math"
1282	Group the People Given the Group Size They Belong To	group-the-people-given-the-group-size-they-belong-to	Medium	"Hash Table, Greedy"
1286	Iterator for Combination	iterator-for-combination	Medium	"Backtracking, Enumeration"
1288	Remove Covered Intervals	remove-covered-intervals	Medium	"Array, Sorting, Greedy"
1289	Minimum Falling Path Sum II	minimum-falling-path-sum-ii	Hard	"Dynamic Programming, Matrix"
1290	Convert Binary Number in a Linked List to Integer	convert-binary-number-in-a-linked-list-to-integer	Easy	"Linked List, Bit Manipulation"
1295	Find Numbers with Even Number of Digits	find-numbers-with-even-number-of-digits	Easy	"Array"
1296	Divide Array in Sets of K Consecutive Numbers	divide-array-in-sets-of-k-consecutive-numbers	Medium	"Array, Sorting, Greedy"
1298	Maximum Candies You Can Get from Boxes	maximum-candies-you-can-get-from-boxes	Hard	"Greedy, Array"
1299	Replace Elements with Greatest Element on Right Side	replace-elements-with-greatest-element-on-right-side	Easy	"Array, Simulation"
1301	Number of Paths with Max Score	number-of-paths-with-max-score	Hard	"Dynamic Programming, Matrix"
1302	Deepest Leaves Sum	deepest-leaves-sum	Medium	"Tree, Binary Tree, Depth-First Search"
1304	Find N Unique Integers Sum up to Zero	find-n-unique-integers-sum-up-to-zero	Easy	"Array, Math"
1305	All Elements in Two Binary Search Trees	all-elements-in-two-binary-search-trees	Medium	"Binary Search Tree, Tree, Sorting"
1306	Jump Game III	jump-game-iii	Medium	"Array, Depth-First Search, Breadth-First Search"
1309	Decrypt String from Alphabet to Integer Mapping	decrypt-string-from-alphabet-to-integer-mapping	Easy	"String"
1310	XOR Queries of a Subarray	xor-queries-of-a-subarray	Medium	"Array, XOR, Bit Manipulation"
1311	Get Watched Videos by Your Friends	get-watched-videos-by-your-friends	Medium	"Hash Table, Graph"
1312	Minimum Insertion Steps to Make a String Palindrome	minimum-insertion-steps-to-make-a-string-palindrome	Hard	"String, Dynamic Programming"
1313	Decompress Run-Length Encoded List	decompress-run-length-encoded-list	Easy	"Array, String"
1314	Matrix Block Sum	matrix-block-sum	Medium	"Matrix, Prefix Sum"
1315	Sum of Nodes with Even-Valued Grandparent	sum-of-nodes-with-even-valued-grandparent	Medium	"Tree, Binary Tree, Depth-First Search"
1316	Distinct Echo Substrings	distinct-echo-substrings	Hard	"String, Hash Table, Substring, String Matching"
