Problem Number,Title,Slug,Difficulty,Tags,Official Tags
267,Palindrome Permutation II,palindrome-permutation-ii,Medium,"String, Backtracking, Enumeration","Hash Table, String, Backtracking"
268,Missing Number,missing-number,Easy,"Array, Math","Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
269,Alien Dictionary,alien-dictionary,Hard,"Graph, Topological Sort","Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
270,Closest Binary Search Tree Value,closest-binary-search-tree-value,Easy,"Binary Search Tree, Tree, Binary Search","Binary Search, Tree, Depth-First Search, Binary Search Tree, Binary Tree"
271,Encode and Decode Strings,encode-and-decode-strings,Medium,"String, Design","Array, String, Design"
272,Closest Binary Search Tree Value II,closest-binary-search-tree-value-ii,Hard,"Binary Search Tree, Tree, Depth-First Search","Two Pointers, Stack, Tree, Depth-First Search, Binary Search Tree, Heap (Priority Queue), Binary Tree"
273,Integer to English Words,integer-to-english-words,Hard,"Math, String","Math, String, Recursion"
275,H-Index II,h-index-ii,Medium,"Array, Binary Search","Array, Binary Search"
276,Paint Fence,paint-fence,Medium,Dynamic Programming,Dynamic Programming
277,Find the Celebrity,find-the-celebrity,Medium,"Graph, Simulation","Two Pointers, Graph, Interactive"
278,First Bad Version,first-bad-version,Easy,Binary Search,"Binary Search, Interactive"
279,Perfect Squares,perfect-squares,Medium,"Math, Dynamic Programming, Greedy","Math, Dynamic Programming, Breadth-First Search"
280,Wiggle Sort,wiggle-sort,Medium,"Array, Sorting, Greedy","Array, Greedy, Sorting"
281,Zigzag Iterator,zigzag-iterator,Medium,"Iterator, Array","Array, Design, Queue, Iterator"
282,Expression Add Operators,expression-add-operators,Hard,"String, Backtracking","Math, String, Backtracking"
283,Move Zeroes,move-zeroes,Easy,"Array, Two Pointers, Simulation","Array, Two Pointers"
284,Peeking Iterator,peeking-iterator,Medium,"Iterator, Design","Array, Design, Iterator"
285,Inorder Successor in BST,inorder-successor-in-bst,Medium,"Binary Search Tree, Tree","Tree, Depth-First Search, Binary Search Tree, Binary Tree"
286,Walls and Gates,walls-and-gates,Medium,"Matrix, Breadth-First Search","Array, Breadth-First Search, Matrix"
287,Find the Duplicate Number,find-the-duplicate-number,Medium,"Array, Hash Table, Bit Manipulation, Sorting","Array, Two Pointers, Binary Search, Bit Manipulation"
288,Unique Word Abbreviation,unique-word-abbreviation,Medium,"String, Hash Table","Array, Hash Table, String, Design"
289,Game of Life,game-of-life,Medium,"Array, Simulation","Array, Matrix, Simulation"
290,Word Pattern,word-pattern,Easy,"String, Hash Table","Hash Table, String"
291,Word Pattern II,word-pattern-ii,Medium,"String, Backtracking","Hash Table, String, Backtracking"
292,Nim Game,nim-game,Easy,Game Theory,"Math, Brainteaser, Game Theory"
293,Flip Game,flip-game,Easy,"String, Dynamic Programming, Backtracking",String
294,Flip Game II,flip-game-ii,Medium,"String, Dynamic Programming, Backtracking","Math, Dynamic Programming, Backtracking, Memoization, Game Theory"
295,Find Median from Data Stream,find-median-from-data-stream,Hard,"Heap (Priority Queue), Data Stream","Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
296,Best Meeting Point,best-meeting-point,Hard,"Matrix, Greedy, Brainteaser","Array, Math, Sorting, Matrix"
297,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,Hard,"Tree, Binary Tree, Serialization, Deserialization","String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
298,Binary Tree Longest Consecutive Sequence,binary-tree-longest-consecutive-sequence,Medium,"Binary Tree, Depth-First Search","Tree, Depth-First Search, Binary Tree"
299,Bulls and Cows,bulls-and-cows,Medium,"String, Hash Table, Brainteaser","Hash Table, String, Counting"
300,Longest Increasing Subsequence,longest-increasing-subsequence,Medium,"Dynamic Programming, Binary Search","Array, Binary Search, Dynamic Programming"
301,Remove Invalid Parentheses,remove-invalid-parentheses,Hard,"String, Backtracking","String, Backtracking, Breadth-First Search"
302,Smallest Rectangle Enclosing Black Pixels,smallest-rectangle-enclosing-black-pixels,Hard,"Matrix, Binary Search, Depth-First Search","Array, Binary Search, Depth-First Search, Breadth-First Search, Matrix"
303,Range Sum Query - Immutable,range-sum-query-immutable,Easy,"Array, Prefix Sum","Array, Design, Prefix Sum"
304,Range Sum Query 2D - Immutable,range-sum-query-2d-immutable,Medium,"Array, Matrix, Prefix Sum","Array, Design, Matrix, Prefix Sum"
305,Number of Islands II,number-of-islands-ii,Hard,"Union Find, Grid, Depth-First Search, Breadth-First Search","Array, Hash Table, Union Find"
306,Additive Number,additive-number,Medium,"String, Recursion, Backtracking","String, Backtracking"
307,Range Sum Query - Mutable,range-sum-query-mutable,Medium,"Array, Dynamic Programming, Segment Tree","Array, Design, Binary Indexed Tree, Segment Tree"
308,Range Sum Query 2D - Mutable,range-sum-query-2d-mutable,Medium,"Matrix, Binary Indexed Tree, Segment Tree","Array, Design, Binary Indexed Tree, Segment Tree, Matrix"
309,Best Time to Buy and Sell Stock with Cooldown,best-time-to-buy-and-sell-stock-with-cooldown,Medium,"Dynamic Programming, Array","Array, Dynamic Programming"
310,Minimum Height Trees,minimum-height-trees,Medium,"Graph, Tree, Breadth-First Search, Depth-First Search","Depth-First Search, Breadth-First Search, Graph, Topological Sort"
311,Sparse Matrix Multiplication,sparse-matrix-multiplication,Medium,"Matrix, Simulation","Array, Hash Table, Matrix"
312,Burst Balloons,burst-balloons,Hard,"Dynamic Programming, Greedy","Array, Dynamic Programming"
313,Super Ugly Number,super-ugly-number,Medium,"Math, Heap (Priority Queue), Dynamic Programming","Array, Math, Dynamic Programming"
314,Binary Tree Vertical Order Traversal,binary-tree-vertical-order-traversal,Medium,"Tree, Binary Tree, Breadth-First Search","Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
315,Count of Smaller Numbers After Self,count-of-smaller-numbers-after-self,Hard,"Binary Indexed Tree, Binary Search, Sorting, Divide and Conquer","Array, Binary Search, Divide and Conquer, Binary Indexed Tree, Segment Tree, Merge Sort, Ordered Set"
316,Remove Duplicate Letters,remove-duplicate-letters,Medium,"String, Greedy, Stack","String, Stack, Greedy, Monotonic Stack"
317,Shortest Distance from All Buildings,shortest-distance-from-all-buildings,Hard,"Breadth-First Search, Matrix, Shortest Path","Array, Breadth-First Search, Matrix"
318,Maximum Product of Word Lengths,maximum-product-of-word-lengths,Medium,"String, Bit Manipulation, Enumeration","Array, String, Bit Manipulation"
319,Bulb Switcher,bulb-switcher,Medium,"Math, Simulation","Math, Brainteaser"
320,Generalized Abbreviation,generalized-abbreviation,Medium,"String, Backtracking, Enumeration","String, Backtracking, Bit Manipulation"
321,Create Maximum Number,create-maximum-number,Hard,"Greedy, Dynamic Programming, Array","Array, Two Pointers, Stack, Greedy, Monotonic Stack"
322,Coin Change,coin-change,Medium,"Dynamic Programming, Greedy","Array, Dynamic Programming, Breadth-First Search"
